	Overall	Adherence to Prompt	Clarity of Thesis	Strength of Argument	Development	Organization	Coherence	Cohesion	Sentence Structure	Vocabulary	Technical Quality
FIJY1056	[4.0, 4.0]	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[4.0, 4.0]
TSNO1332	[2.5, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 1.5]	[2.5, 3.0]	[2.0, 1.5]	[2.5, 2.5]	[2.0, 2.5]
ITRS1013	[3.0, 2.5]	[4.0, 4.0]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]
CNUK1098	[2.0, 2.5]	[2.0, 1.0]	[2.5, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.5, 3.0]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.0]
SWUL5004	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]
DBAN2030	[3.0, 3.5]	[4.0, 4.0]	[3.0, 2.0]	[3.0, 2.5]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]
FIHE1025	[2.5, 3.0]	[3.5, 4.0]	[3.0, 2.0]	[2.5, 1.5]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.5]
DBAN1011	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
DBAN3033	[2.5, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]
CZPR3013	[2.5, 2.5]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 3.0]	[2.0, 2.0]	[2.5, 2.0]
NOUO2024	[3.5, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[3.5, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FRUB1005	[2.5, 2.5]	[4.0, 4.0]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]	[3.5, 4.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]
CNUK1111	[3.0, 3.5]	[3.5, 3.0]	[4.0, 4.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]
DBAN3057	[3.0, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[3.0, 2.0]	[3.0, 3.0]	[3.5, 3.0]
CZKR1001	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]
NOUO2013	[1.5, 1.5]	[2.0, 2.5]	[2.5, 3.5]	[1.5, 1.0]	[1.0, 1.0]	[2.0, 2.0]	[2.0, 2.5]	[3.0, 3.5]	[2.0, 1.5]	[2.5, 2.0]	[3.0, 3.0]
DBAN2052	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]
DBAN3013	[3.5, 3.5]	[4.0, 4.0]	[3.0, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]
SWUL4026	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]
TRCU1042	[3.0, 3.0]	[3.5, 4.0]	[2.5, 2.0]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 4.0]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 2.0]
FRUB1030	[2.5, 2.0]	[2.0, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]
CNUK1021	[3.0, 2.5]	[3.5, 3.0]	[4.0, 2.0]	[3.0, 2.0]	[3.0, 2.0]	[3.0, 2.5]	[3.5, 3.0]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 2.0]	[3.0, 2.5]
SPM01018	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
SWUL1013	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.5]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.5]
RUMO4003	[3.0, 3.0]	[3.5, 3.0]	[3.5, 1.5]	[3.0, 3.0]	[3.5, 2.5]	[3.0, 2.0]	[3.5, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.5, 2.5]	[3.5, 3.0]
ITTO5005	[3.5, 3.5]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 4.0]
FRUC3093	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.5]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.5]
NOUO1058	[3.0, 2.5]	[2.5, 2.0]	[3.0, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[3.5, 4.0]	[3.0, 2.5]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 2.5]	[3.0, 2.5]
BGSU1044	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.0]
CNUK4028	[3.5, 3.0]	[4.0, 2.5]	[3.5, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 2.0]	[3.5, 3.0]	[3.5, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.5]
BGSU1150	[3.5, 3.5]	[3.5, 2.0]	[3.5, 2.5]	[3.0, 2.5]	[3.5, 3.5]	[3.5, 2.5]	[4.0, 2.0]	[3.0, 3.0]	[3.5, 3.0]	[4.0, 3.0]	[3.5, 2.0]
DBAN3051	[3.0, 3.5]	[3.0, 2.5]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]
NOHO1002	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]
CNUK4023	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.5]
NOHO1037	[2.0, 2.0]	[3.0, 3.5]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]
TSNO1012	[2.0, 2.5]	[2.5, 3.0]	[2.0, 1.0]	[2.0, 2.5]	[2.5, 2.5]	[2.5, 3.0]	[2.5, 3.0]	[2.0, 2.5]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 1.0]
BGSU1229	[3.0, 4.0]	[1.0, 1.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[3.5, 4.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 2.0]	[3.5, 4.0]	[3.5, 4.0]
DBAN3046	[3.0, 2.5]	[3.0, 2.0]	[2.0, 2.0]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.0]	[2.5, 2.0]	[3.5, 4.0]	[3.5, 4.0]
BGSU1003	[3.0, 3.0]	[3.5, 4.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 1.5]	[3.0, 4.0]	[3.5, 4.0]
NOAG1015	[3.5, 3.5]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 2.5]	[3.5, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]
FRUL1030	[3.0, 3.5]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 2.0]	[2.5, 3.5]	[3.0, 3.0]	[3.0, 2.0]	[2.5, 1.5]	[3.0, 2.5]	[3.5, 4.0]	[3.0, 2.0]
RUMO6001	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 3.0]	[3.0, 3.0]	[2.5, 3.0]	[3.5, 3.5]	[3.0, 3.5]	[2.5, 3.0]
FRUL1033	[3.0, 3.0]	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
RUMO7023	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.0]
CNUK3066	[2.5, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 2.0]	[3.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 2.0]
BGSU1106	[3.0, 3.0]	[3.0, 2.0]	[3.0, 4.0]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.5]	[3.0, 3.0]
FRUC3080	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 2.0]
BGSU1083	[3.0, 3.0]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]
NOBE1018	[3.5, 3.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]
ITTO5008	[3.0, 3.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
SPM03023	[2.5, 2.0]	[3.0, 3.0]	[3.0, 2.5]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]
RUMO5006	[3.0, 3.5]	[4.0, 4.0]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.0]	[3.0, 3.5]
SPM04031	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 4.0]	[3.5, 3.5]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]
FRUB2006	[3.5, 2.5]	[4.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 2.5]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]
NOUO1035	[2.0, 2.0]	[3.5, 3.0]	[3.0, 2.5]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]
NOUO1009	[1.5, 2.0]	[2.0, 2.5]	[1.5, 1.5]	[1.0, 1.0]	[1.5, 1.0]	[1.5, 1.0]	[1.5, 1.5]	[2.0, 2.5]	[1.5, 1.5]	[1.5, 1.0]	[2.0, 2.5]
NOUO1078	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]
BGSU1194	[3.5, 3.5]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 2.5]	[3.5, 4.0]	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.0]
TSNO1462	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 3.0]	[2.5, 3.0]	[2.0, 1.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]
TRME3012	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.5]	[2.5, 2.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]
CNUK4020	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 4.0]
RUMO5019	[2.5, 2.5]	[4.0, 4.0]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]
BGSU1262	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
CNUK1141	[3.5, 3.5]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 2.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]
SPM03008	[3.0, 2.5]	[3.0, 4.0]	[3.0, 2.0]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]
FRUC3095	[2.5, 2.0]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.0]	[2.5, 3.0]	[2.0, 2.0]	[3.5, 4.0]	[2.5, 2.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]
SPM03003	[2.5, 2.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[2.5, 2.0]	[2.0, 2.0]	[3.0, 3.5]	[2.0, 2.0]
RUMO2020	[2.5, 2.5]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]
BGSU1250	[3.5, 3.5]	[3.0, 2.5]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]
DBAN2036	[3.0, 3.0]	[3.0, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]
BGSU1092	[3.0, 3.5]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]
FRUB2005	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[4.0, 4.0]
FIAB3003	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 4.0]	[2.5, 2.0]
NOUO1032	[2.5, 2.5]	[3.5, 4.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[3.5, 3.0]
SPM05020	[2.5, 2.5]	[3.5, 4.0]	[2.0, 2.0]	[2.0, 1.5]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 1.5]
TSNO1485	[2.5, 3.0]	[2.0, 1.5]	[3.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
RUMO9012	[2.5, 2.5]	[4.0, 4.0]	[3.0, 3.5]	[2.5, 2.0]	[3.0, 3.0]	[2.0, 1.5]	[2.5, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.5]
SPM03047	[3.0, 3.0]	[4.0, 3.0]	[3.5, 2.0]	[3.0, 2.5]	[3.0, 2.0]	[3.5, 3.0]	[3.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.5, 2.0]
RUMO4029	[3.0, 3.0]	[3.0, 2.0]	[3.5, 4.0]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.5, 3.5]	[3.5, 3.5]
TRME3028	[2.5, 2.5]	[3.0, 2.0]	[3.5, 3.5]	[2.5, 2.5]	[2.5, 2.5]	[1.5, 1.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]
CNUK1119	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]
ITRS2006	[3.5, 3.0]	[4.0, 3.0]	[4.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 2.5]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]
BGSU1296	[2.5, 1.5]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 1.5]	[2.0, 1.5]	[2.5, 2.0]	[2.0, 1.5]	[2.5, 2.0]	[2.5, 1.5]	[2.5, 2.0]	[2.5, 1.5]
SWUL3019	[2.5, 2.5]	[2.5, 2.5]	[3.5, 3.5]	[2.5, 2.0]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 4.0]	[3.5, 3.0]	[3.0, 2.5]	[3.0, 3.0]
BGSU1109	[3.0, 3.0]	[3.5, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[4.0, 4.0]	[3.0, 2.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]
TRCU1058	[1.5, 1.0]	[2.0, 1.0]	[2.0, 1.5]	[2.0, 1.0]	[2.5, 2.0]	[3.0, 2.0]	[2.0, 1.0]	[2.0, 1.0]	[2.0, 2.0]	[2.0, 1.0]	[2.0, 3.0]
BGSU1276	[3.0, 3.0]	[3.5, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]
DBAN1014	[3.0, 2.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.5, 4.0]	[3.0, 4.0]	[3.0, 2.0]	[3.5, 4.0]	[3.5, 4.0]
CZPR3027	[2.5, 2.5]	[3.5, 4.0]	[3.5, 4.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.5]	[2.5, 2.0]
RUMO4016	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]
FRUC3092	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]
NOAG1004	[2.0, 2.0]	[2.0, 1.5]	[2.5, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 2.0]	[3.0, 3.5]
TRME3010	[2.5, 2.5]	[3.5, 4.0]	[4.0, 4.0]	[2.5, 2.0]	[3.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]
FRUC3074	[2.5, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[2.0, 2.0]	[2.0, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.5]	[2.5, 2.0]	[3.0, 3.0]
SWUL3027	[3.5, 3.5]	[4.0, 2.0]	[4.0, 2.5]	[3.5, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[3.5, 3.0]	[3.5, 2.5]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 2.5]
ITRS2018	[2.5, 2.0]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[3.5, 4.0]	[2.0, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.5]	[2.0, 2.0]
POPZ1004	[3.5, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 4.0]	[3.5, 3.0]	[3.5, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.5, 3.0]	[4.0, 4.0]	[3.5, 4.0]
CNUK4022	[3.0, 3.0]	[4.0, 3.0]	[3.0, 2.5]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[3.5, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 2.0]
FRUB2024	[3.0, 3.0]	[3.5, 4.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.5]
TSNO1513	[3.5, 2.5]	[4.0, 2.0]	[3.5, 2.5]	[3.5, 2.5]	[3.0, 2.0]	[3.5, 2.5]	[4.0, 3.0]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.0]
BGSU1066	[2.5, 3.0]	[3.0, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[2.0, 1.5]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]
FRUL1015	[2.0, 1.5]	[3.0, 2.0]	[2.0, 1.0]	[2.0, 1.0]	[2.5, 2.0]	[2.0, 2.5]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]
RUMO5039	[2.5, 3.0]	[3.5, 4.0]	[3.0, 3.5]	[2.5, 2.0]	[3.0, 3.5]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]
NOOS1007	[3.0, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]
SWUL4008	[3.0, 3.0]	[3.5, 3.0]	[4.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]
RUMO5008	[3.5, 3.5]	[4.0, 2.0]	[3.5, 2.0]	[3.5, 2.0]	[3.5, 2.0]	[2.5, 1.5]	[3.5, 2.0]	[3.0, 2.0]	[3.0, 1.5]	[3.5, 2.0]	[3.5, 2.5]
NOHO1032	[2.5, 2.5]	[3.0, 2.0]	[3.5, 1.0]	[3.0, 2.0]	[2.5, 2.0]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.0]	[3.0, 1.5]	[3.5, 2.5]
TRCU1136	[3.0, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.5]
